,FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry,best_solution,select_freq,status
0,0,,,,,,,,,,,,76146210.8,,,,,,,,,"POLYGON ((147.5793132786925 -19.77419400918118, 147.6502863937548 -19.73676465208617, 147.7202500171852 -19.77584033890653, 147.7192759860077 -19.85237547682076, 147.6482642226311 -19.88983409128835, 147.5782651404232 -19.85072829539401, 147.5793132786925 -19.77419400918118))",0,11,0
1,1,,,,,,,,,,,,40524764.28,,,,,,,,,"POLYGON ((147.7202500171852 -19.77584033890653, 147.7911876709864 -19.73835022835877, 147.8611898259338 -19.77736598063496, 147.8602899066942 -19.85390190783122, 147.7893137190152 -19.89142130854615, 147.7192759860077 -19.85237547682076, 147.7202500171852 -19.77584033890653))",0,1,0
2,2,,,,,,,,,,,,181154249.4,,,,,,,,,"POLYGON ((147.8611898259338 -19.77736598063496, 147.9320918993754 -19.73981514591939, 148.0021324713886 -19.77877093063451, 148.0013066685647 -19.85530758468756, 147.9303661758807 -19.89288774224723, 147.8602899066942 -19.85390190783122, 147.8611898259338 -19.77736598063496))",1,53,0
3,3,,,,,,,,,,,,106351934.8,,,,,,,,,"POLYGON ((148.0021324713886 -19.77877093063451, 148.0729988455415 -19.74115940118636, 148.1430777199715 -19.78005518546826, 148.1423260376725 -19.85659250394776, 148.0714213591104 -19.89423338879901, 148.0013066685647 -19.85530758468756, 148.0021324713886 -19.77877093063451))",0,11,0
4,4,,,,,,,,,,,,23406928.27,,,,,,,,,"POLYGON ((148.1430777199715 -19.78005518546826, 148.2139082760776 -19.74238299087287, 148.2840253380786 -19.78121874199446, 148.2833477800451 -19.85775666246516, 148.2124790345597 -19.89545824490454, 148.1423260376725 -19.85659250394776, 148.1430777199715 -19.78005518546826))",0,0,0
5,5,,,,,,,,,,,,,,,,,,11996.17687,,,"POLYGON ((148.2840253380786 -19.78121874199446, 148.3548199575518 -19.74348591198696, 148.4249750920827 -19.78226159736656, 148.4243716616863 -19.85880005738894, 148.3535389680596 -19.89656230756284, 148.2833477800451 -19.85775666246516, 148.2840253380786 -19.78121874199446))",0,0,0
6,6,,,,,,,,,,,,67072157.21,,,,,,,,,"POLYGON ((147.5104717813243 -19.658523592907, 147.5814062531868 -19.62112345640125, 147.6512958862232 -19.66022894242639, 147.6502863937548 -19.73676465208617, 147.5793132786925 -19.77419400918118, 147.5093883010312 -19.73505842097819, 147.5104717813243 -19.658523592907))",0,3,0
7,7,,,,,,,,,,,,170718813.8,,,,,,,,,"POLYGON ((147.6512958862232 -19.66022894242639, 147.7221950108932 -19.62276808527069, 147.7921231706156 -19.66181369943355, 147.7911876709864 -19.73835022835877, 147.7202500171852 -19.77584033890653, 147.6502863937548 -19.73676465208617, 147.6512958862232 -19.66022894242639))",1,35,0
8,8,,,,,,,,,,,,62128511.65,,,,,,,,,"POLYGON ((147.7921231706156 -19.66181369943355, 147.8629868291933 -19.62429215079566, 147.9329534015178 -19.66327786005786, 147.9320918993754 -19.73981514591939, 147.8611898259338 -19.77736598063496, 147.7911876709864 -19.73835022835877, 147.7921231706156 -19.66181369943355))",0,4,0
9,9,,,,,,,,,,,,,,,,,,,,,"POLYGON ((147.9329534015178 -19.66327786005786, 148.0037814752721 -19.62569564925538, 148.0737863459172 -19.66462142072299, 148.0729988455415 -19.74115940118636, 148.0021324713886 -19.77877093063451, 147.9320918993754 -19.73981514591939, 147.9329534015178 -19.66327786005786))",0,0,0
10,10,,,,,,,,,,,,,,,,,,,,,"POLYGON ((148.0737863459172 -19.66462142072299, 148.1445787162866 -19.62697857722345, 148.2146217707741 -19.66584437814715, 148.2139082760776 -19.74238299087287, 148.1430777199715 -19.78005518546826, 148.0729988455415 -19.74115940118636, 148.0737863459172 -19.66462142072299))",0,0,0
11,11,,,,,,,,,,,,,,,,,,10128.3701,,,"POLYGON ((148.2146217707741 -19.66584437814715, 148.2853783193679 -19.62814093156765, 148.3554594430242 -19.66694672934289, 148.3548199575518 -19.74348591198696, 148.2840253380786 -19.78121874199446, 148.2139082760776 -19.74238299087287, 148.2146217707741 -19.66584437814715))",0,0,0
12,12,,,,,,,,,,,,,,,,,,279618.5147,,,"POLYGON ((148.3554594430242 -19.66694672934289, 148.4261800516238 -19.62918270945003, 148.4962991295807 -19.6679284716175, 148.4957336565098 -19.74446816183166, 148.4249750920827 -19.78226159736656, 148.3548199575518 -19.74348591198696, 148.3554594430242 -19.66694672934289))",0,0,0
13,13,,,,,,,,,,,,15111054.51,,,,,,,,,"POLYGON ((147.4417394973072 -19.54282291726732, 147.5126353312517 -19.50545196463021, 147.5824510928775 -19.54458719408213, 147.5814062531868 -19.62112345640125, 147.5104717813243 -19.658523592907, 147.4406207888589 -19.61935826820205, 147.4417394973072 -19.54282291726732))",0,0,0
14,14,,,,,,,,,,,,182603975.6,,,,,,,,,"POLYGON ((147.5824510928775 -19.54458719408213, 147.6533116933313 -19.50715555360597, 147.7231659766443 -19.54623097379426, 147.7221950108932 -19.62276808527069, 147.6512958862232 -19.66022894242639, 147.5814062531868 -19.62112345640125, 147.5824510928775 -19.54458719408213))",1,42,0
