id,cost,status,xloc,yloc
0,1,0,147.649275839782,-19.813299483964
1,1,0,147.790251187637,-19.814885880305198
2,1,0,147.931229491306,-19.8163515555442
3,1,0,148.072210517042,-19.817696506094002
4,1,0,148.213194031068,-19.818920728662697
5,1,0,148.35417979958402,-19.820024220253803
6,1,0,147.580360315702,-19.697658844756997
7,1,0,147.72122302494301,-19.6993043236153
8,1,0,147.862088799604,-19.700829176835
9,1,0,148.002957406502,-19.7022334006898
10,1,0,148.143828612428,-19.703516991748106
11,1,0,148.284702184146,-19.7046799468728
12,1,0,148.425577888395,-19.7057222632218
13,1,0,147.511554124134,-19.581987890428604
14,1,0,147.652304318859,-19.583692359222
15,1,0,147.793057688074,-19.585276297765397
16,1,0,147.93381399916,-19.5867397021941
17,1,0,148.074573019473,-19.5880825689371
18,1,0,148.215334516339,-19.589304894717603
19,1,0,148.35609825706,-19.5904066765527
20,1,0,147.16159220080098,-19.4623986757554
21,1,0,147.302222742998,-19.4644028987689
22,1,0,147.442857032227,-19.4662866957308
23,1,0,147.583494836502,-19.468050062052
24,1,0,147.72413592380198,-19.4696929934367
25,1,0,147.864780062074,-19.4712154858823
26,1,0,148.00542701923501,-19.472617535679397
27,1,0,148.146076563173,-19.4738991394119
28,1,0,148.286728461752,-19.4750602939572
29,1,0,148.427382482812,-19.47610099648589
30,1,0,146.952714854693,-19.3443668280023
31,1,0,147.09322883086202,-19.346549990949
32,1,0,147.233746892323,-19.348612828371998
33,1,0,147.374268807693,-19.3505553352538
34,1,0,147.51479434555,-19.3523775068698
35,1,0,147.655323274437,-19.3540793387876
36,1,0,147.795855362864,-19.3556608268674
37,1,0,147.93639037930902,-19.3571219672619
38,1,0,148.07692809222004,-19.358462756416603
39,1,0,148.217468270021,-19.359683191069397
40,1,0,148.35801068110902,-19.3607832682512
41,1,0,146.603782799199,-19.2235859612388
42,1,0,146.744175239453,-19.226067994409
43,1,0,146.884572332297,-19.2284298088021
44,1,0,147.024973846996,-19.2306713986832
45,1,0,147.165379552774,-19.232792758608802
46,1,0,147.305789218811,-19.234793883427397
47,1,0,147.446202614249,-19.236674768279
48,1,0,147.586619508193,-19.2384354085953
49,1,0,147.727039669713,-19.2400758001001
50,1,0,147.86746286785,-19.2415959388089
51,1,0,148.007888871609,-19.242995821029197
52,1,0,148.148317449974,-19.244275443360397
53,1,0,148.288748371897,-19.245434802694106
54,1,0,148.429181406312,-19.2464738962138
55,1,0,146.395698383025,-19.104842522674502
56,1,0,146.53597329166402,-19.1075028166047
57,1,0,146.676253187149,-19.110042993672604
58,1,0,146.816537839358,-19.1124630477201
59,1,0,146.956827018123,-19.114762972879802
