"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,69628854.445568,0,10,0,0,yes,1.000000
19,,102797716.068924,115712590.710117,0,4,0,0,yes,1.000000
18,,3456201.354849,4138723.863367,0,2,0,0,yes,1.000000
17,,227195960.353977,239695279.613586,0,9,0,0,yes,1.000000
16,,148175890.094612,205268106.060818,0,7,0,0,yes,1.000000
15,,13102763.391318,33795256.821832,0,3,0,0,yes,1.000000
14,,6001996.155702,20578790.213850,0,3,0,0,yes,1.000000
13,,8931772.451034,11925536.056239,0,4,0,0,yes,1.000000
12,,352533215.344209,357809738.400172,0,8,0,0,yes,1.000000
11,,501908512.966683,1076907081.187415,0,12,0,0,yes,1.000000
10,,551448418.822755,568759516.731296,0,7,0,0,yes,1.000000
9,,6062635.478561,14277695.822763,0,4,0,0,yes,1.000000
8,,1170071012.657410,1178314807.677732,0,12,0,0,yes,1.000000
7,,376396272.768339,391430489.883043,0,4,0,0,yes,1.000000
6,,283242187.381411,295983858.172260,0,5,0,0,yes,1.000000
5,,501694534.627578,527629123.251995,0,7,0,0,yes,1.000000
4,,145211448.600232,189048597.465822,0,3,0,0,yes,1.000000
3,,746665780.128168,833444566.516908,0,10,0,0,yes,1.000000
2,,213197082.166299,322712233.301941,0,4,0,0,yes,1.000000
1,,111056428.065240,123451923.652644,0,3,0,0,yes,1.000000
