"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,35061980.914647,0,6,0,0,yes,1.000000
19,,102797716.068924,109249720.587193,0,4,0,0,yes,1.000000
18,,3456201.354849,12301291.664910,0,1,0,0,yes,1.000000
17,,227195960.353977,251746769.223771,0,6,0,0,yes,1.000000
16,,148175890.094612,163443159.724284,0,8,0,0,yes,1.000000
15,,13102763.391318,37898427.728492,0,4,0,0,yes,1.000000
14,,6001996.155702,7734771.932404,0,1,0,0,yes,1.000000
13,,8931772.451034,20628576.734162,0,5,0,0,yes,1.000000
12,,352533215.344209,382095373.624500,0,7,0,0,yes,1.000000
11,,501908512.966683,556480430.132150,0,7,0,0,yes,1.000000
10,,551448418.822755,553297823.659047,0,6,0,0,yes,1.000000
9,,6062635.478561,18138783.035083,0,4,0,0,yes,1.000000
8,,1170071012.657410,1193000398.020804,0,11,0,0,yes,1.000000
7,,376396272.768339,385719267.220064,0,4,0,0,yes,1.000000
6,,283242187.381411,296060187.658906,0,5,0,0,yes,1.000000
5,,501694534.627578,518816994.090092,0,6,0,0,yes,1.000000
4,,145211448.600232,153651548.027334,0,3,0,0,yes,1.000000
3,,746665780.128168,752213977.087558,0,9,0,0,yes,1.000000
2,,213197082.166299,343272565.654647,0,3,0,0,yes,1.000000
1,,111056428.065240,124976713.274659,0,3,0,0,yes,1.000000
