habitat,id1,id2,value
cobble,pu_018,pu_003,0.0
cobble,pu_019,pu_003,0.0
cobble,pu_020,pu_003,0.0
cobble,pu_021,pu_003,0.0
cobble,pu_022,pu_003,0.0
cobble,pu_023,pu_003,0.0
cobble,pu_024,pu_003,0.0
cobble,pu_025,pu_003,0.0
cobble,pu_026,pu_003,0.0
cobble,pu_027,pu_003,0.0
cobble,pu_028,pu_003,0.0
cobble,pu_029,pu_003,0.0
cobble,pu_030,pu_003,0.0
cobble,pu_031,pu_003,0.0
cobble,pu_032,pu_003,0.0
cobble,pu_033,pu_003,0.0
cobble,pu_034,pu_003,0.0
cobble,pu_035,pu_003,0.0
cobble,pu_036,pu_003,0.0
cobble,pu_037,pu_003,0.0
cobble,pu_038,pu_003,0.0
cobble,pu_039,pu_003,0.0
cobble,pu_040,pu_003,0.0
cobble,pu_041,pu_003,0.0
cobble,pu_042,pu_003,0.0
cobble,pu_043,pu_003,0.0
cobble,pu_044,pu_003,0.0
cobble,pu_045,pu_003,0.0
cobble,pu_046,pu_003,0.0
cobble,pu_047,pu_003,0.0
cobble,pu_048,pu_003,0.0
cobble,pu_049,pu_003,0.0
cobble,pu_050,pu_003,0.0
cobble,pu_051,pu_003,0.0
cobble,pu_052,pu_003,0.0
cobble,pu_053,pu_003,0.0
cobble,pu_054,pu_003,0.0
cobble,pu_055,pu_003,0.0
cobble,pu_056,pu_003,0.0
cobble,pu_057,pu_003,0.0
cobble,pu_058,pu_003,0.0
cobble,pu_059,pu_003,0.0
cobble,pu_060,pu_003,0.0
cobble,pu_061,pu_003,0.0
cobble,pu_062,pu_003,0.0
cobble,pu_063,pu_003,0.0
cobble,pu_064,pu_003,0.0
cobble,pu_065,pu_003,0.0
cobble,pu_066,pu_003,0.0
cobble,pu_067,pu_003,0.0
cobble,pu_068,pu_003,0.0
cobble,pu_069,pu_003,0.0
cobble,pu_070,pu_003,0.0
cobble,pu_071,pu_003,0.0
cobble,pu_072,pu_003,0.0
cobble,pu_073,pu_003,0.0
cobble,pu_074,pu_003,0.0
cobble,pu_075,pu_003,0.0
cobble,pu_076,pu_003,0.0
cobble,pu_077,pu_003,0.0
cobble,pu_078,pu_003,0.0
cobble,pu_079,pu_003,0.0
cobble,pu_080,pu_003,0.0
cobble,pu_001,pu_004,0.0
cobble,pu_002,pu_004,0.0
cobble,pu_003,pu_004,0.0
cobble,pu_004,pu_004,0.0
cobble,pu_005,pu_004,0.0
cobble,pu_006,pu_004,0.0
cobble,pu_007,pu_004,0.0
cobble,pu_008,pu_004,0.0
cobble,pu_009,pu_004,0.0
cobble,pu_010,pu_004,0.0
cobble,pu_011,pu_004,0.0
cobble,pu_012,pu_004,0.0
cobble,pu_013,pu_004,0.0
cobble,pu_014,pu_004,0.0
cobble,pu_015,pu_004,0.0
cobble,pu_016,pu_004,0.0
cobble,pu_017,pu_004,0.0
cobble,pu_018,pu_004,0.0
cobble,pu_019,pu_004,0.0
cobble,pu_020,pu_004,0.0
cobble,pu_021,pu_004,0.0
cobble,pu_022,pu_004,0.0
cobble,pu_023,pu_004,0.0
cobble,pu_024,pu_004,0.0
cobble,pu_025,pu_004,0.0
cobble,pu_026,pu_004,0.0
cobble,pu_027,pu_004,0.0
cobble,pu_028,pu_004,0.0
cobble,pu_029,pu_004,0.0
cobble,pu_030,pu_004,0.0
cobble,pu_031,pu_004,0.0
cobble,pu_032,pu_004,0.0
cobble,pu_033,pu_004,0.0
cobble,pu_034,pu_004,0.0
cobble,pu_035,pu_004,0.0
cobble,pu_036,pu_004,0.0
cobble,pu_037,pu_004,0.0
cobble,pu_038,pu_004,0.0
cobble,pu_039,pu_004,0.0
cobble,pu_040,pu_004,0.0
cobble,pu_041,pu_004,0.0
cobble,pu_042,pu_004,0.0
cobble,pu_043,pu_004,0.0
cobble,pu_044,pu_004,0.0
cobble,pu_045,pu_004,0.0
cobble,pu_046,pu_004,0.0
cobble,pu_047,pu_004,0.0
cobble,pu_048,pu_004,0.0
cobble,pu_049,pu_004,0.0
cobble,pu_050,pu_004,0.0
cobble,pu_051,pu_004,0.0
cobble,pu_052,pu_004,0.0
cobble,pu_053,pu_004,0.0
cobble,pu_054,pu_004,0.0
cobble,pu_055,pu_004,0.0
cobble,pu_056,pu_004,0.0
cobble,pu_057,pu_004,0.0
cobble,pu_058,pu_004,0.0
cobble,pu_059,pu_004,0.0
cobble,pu_060,pu_004,0.0
cobble,pu_061,pu_004,0.0
cobble,pu_062,pu_004,0.0
cobble,pu_063,pu_004,0.0
cobble,pu_064,pu_004,0.0
cobble,pu_065,pu_004,0.0
cobble,pu_066,pu_004,0.0
cobble,pu_067,pu_004,0.0
cobble,pu_068,pu_004,0.0
cobble,pu_069,pu_004,0.0
cobble,pu_070,pu_004,0.0
cobble,pu_071,pu_004,0.0
cobble,pu_072,pu_004,0.0
cobble,pu_073,pu_004,0.0
cobble,pu_074,pu_004,0.0
cobble,pu_075,pu_004,0.0
cobble,pu_076,pu_004,0.0
cobble,pu_077,pu_004,0.0
cobble,pu_078,pu_004,0.0
cobble,pu_079,pu_004,0.0
cobble,pu_080,pu_004,0.0
cobble,pu_001,pu_005,0.0
cobble,pu_002,pu_005,0.0
cobble,pu_003,pu_005,0.0
cobble,pu_004,pu_005,0.0
cobble,pu_005,pu_005,0.0
cobble,pu_006,pu_005,0.0
cobble,pu_007,pu_005,0.0
cobble,pu_008,pu_005,0.0
cobble,pu_009,pu_005,0.0
cobble,pu_010,pu_005,0.0
cobble,pu_011,pu_005,0.0
cobble,pu_012,pu_005,0.0
cobble,pu_013,pu_005,0.0
cobble,pu_014,pu_005,0.0
cobble,pu_015,pu_005,0.0
cobble,pu_016,pu_005,0.0
cobble,pu_017,pu_005,0.0
cobble,pu_018,pu_005,0.0
cobble,pu_019,pu_005,0.0
cobble,pu_020,pu_005,0.0
cobble,pu_021,pu_005,0.0
cobble,pu_022,pu_005,0.0
cobble,pu_023,pu_005,0.0
cobble,pu_024,pu_005,0.0
cobble,pu_025,pu_005,0.0
cobble,pu_026,pu_005,0.0
cobble,pu_027,pu_005,0.0
cobble,pu_028,pu_005,0.0
cobble,pu_029,pu_005,0.0
cobble,pu_030,pu_005,0.0
cobble,pu_031,pu_005,0.0
cobble,pu_032,pu_005,0.0
cobble,pu_033,pu_005,0.0
cobble,pu_034,pu_005,0.0
cobble,pu_035,pu_005,0.0
cobble,pu_036,pu_005,0.0
cobble,pu_037,pu_005,0.0
cobble,pu_038,pu_005,0.0
cobble,pu_039,pu_005,0.0
cobble,pu_040,pu_005,0.0
cobble,pu_041,pu_005,0.0
cobble,pu_042,pu_005,0.0
cobble,pu_043,pu_005,0.0
cobble,pu_044,pu_005,0.0
cobble,pu_045,pu_005,0.0
cobble,pu_046,pu_005,0.0
cobble,pu_047,pu_005,0.0
cobble,pu_048,pu_005,0.0
cobble,pu_049,pu_005,0.0
cobble,pu_050,pu_005,0.0
cobble,pu_051,pu_005,0.0
cobble,pu_052,pu_005,0.0
cobble,pu_053,pu_005,0.0
cobble,pu_054,pu_005,0.0
cobble,pu_055,pu_005,0.0
cobble,pu_056,pu_005,0.0
cobble,pu_057,pu_005,0.0
cobble,pu_058,pu_005,0.0
cobble,pu_059,pu_005,0.0
cobble,pu_060,pu_005,0.0
cobble,pu_061,pu_005,0.0
cobble,pu_062,pu_005,0.0
cobble,pu_063,pu_005,0.0
cobble,pu_064,pu_005,0.0
cobble,pu_065,pu_005,0.0
cobble,pu_066,pu_005,0.0
cobble,pu_067,pu_005,0.0
cobble,pu_068,pu_005,0.0
cobble,pu_069,pu_005,0.0
cobble,pu_070,pu_005,0.0
