time,id1,id2,value
2000,pu_004,pu_010,0.038552163
2000,pu_005,pu_010,0.13148532
2000,pu_006,pu_010,0.103797033
2000,pu_007,pu_010,0.103797033
2000,pu_008,pu_010,0.045870756
2000,pu_009,pu_010,0.131800224
2000,pu_010,pu_010,0.103890697
2000,pu_011,pu_010,0.103890697
2000,pu_012,pu_010,0.045816825
2000,pu_013,pu_010,0.154467238
2000,pu_014,pu_010,0.126526156
2000,pu_015,pu_010,0.126526156
2000,pu_016,pu_010,0.077403747
2000,pu_001,pu_011,0.038552163
2000,pu_002,pu_011,0.035395112
2000,pu_003,pu_011,0.035395112
2000,pu_004,pu_011,0.054229614
2000,pu_005,pu_011,0.045870756
2000,pu_006,pu_011,0.103797033
2000,pu_007,pu_011,0.103797033
2000,pu_008,pu_011,0.13148532
2000,pu_009,pu_011,0.045816825
2000,pu_010,pu_011,0.103890697
2000,pu_011,pu_011,0.103890697
2000,pu_012,pu_011,0.131800224
2000,pu_013,pu_011,0.077403747
2000,pu_014,pu_011,0.126526156
2000,pu_015,pu_011,0.126526156
2000,pu_016,pu_011,0.154467238
2000,pu_001,pu_012,0.013038698
2000,pu_002,pu_012,0.022448356
2000,pu_003,pu_012,0.035395112
2000,pu_004,pu_012,0.054229614
2000,pu_005,pu_012,0.004321915
2000,pu_006,pu_012,0.018169044
2000,pu_007,pu_012,0.103797033
2000,pu_008,pu_012,0.13148532
2000,pu_009,pu_012,0.004232098
2000,pu_010,pu_012,0.01812183
2000,pu_011,pu_012,0.103890697
2000,pu_012,pu_012,0.131800224
2000,pu_013,pu_012,0.026702256
2000,pu_014,pu_012,0.055413473
2000,pu_015,pu_012,0.126526156
2000,pu_016,pu_012,0.154467238
2000,pu_001,pu_013,0.005374139
2000,pu_002,pu_013,0.000431985
2000,pu_003,pu_013,0
2000,pu_004,pu_013,0
2000,pu_005,pu_013,0.024090326
2000,pu_006,pu_013,0.003642936
2000,pu_007,pu_013,0
2000,pu_008,pu_013,0
