"","conn_001","conn_002","conn_003","conn_004","conn_005","conn_006","conn_007","conn_008","conn_009","conn_010","conn_011","conn_012","conn_013","conn_014","conn_015","conn_016"
"conn_001",0.154015751352223,0.154015751352223,0.0779135409940486,0.0274935374247159,0.154015751352223,0.154015751352223,0.0776678322182786,0.0272023807215098,0.0542296136227065,0.0542296136227049,0.038552162558618,0.0130386977801837,0.00537413938088363,0.00537413938088366,0.00286133688657455,0
"conn_002",0.126380240177408,0.126380240177408,0.126380240177408,0.0560036774284678,0.126380240177408,0.126380240177408,0.126380240177408,0.0557852353905871,0.0353951120511712,0.0353951120511712,0.0353951120511544,0.022448355751663,0.000431984737113069,0.00043198473711308,0.000431984737111929,0
"conn_003",0.056003677428504,0.1263802401774,0.1263802401774,0.1263802401774,0.0557852353905792,0.1263802401774,0.1263802401774,0.1263802401774,0.0224483557516534,0.0353951120511563,0.0353951120511828,0.0353951120511828,0,0.000431984737112815,0.000431984737114503,0.000431984737114491
"conn_004",0.0274935374247186,0.0779135409940085,0.154015751352218,0.154015751352218,0.0272023807215124,0.0776678322182882,0.154015751352218,0.154015751352218,0.01303869778018,0.0385521625586318,0.0542296136227181,0.0542296136227181,0,0.00286133688657691,0.00537413938088753,0.00537413938088749
"conn_005",0.131485320090387,0.131485320090387,0.0461163720294542,0.00447380892373771,0.131485320090387,0.131485320090387,0.0461163115225754,0.00447365815831528,0.131485320090387,0.131485320090387,0.0458707562220272,0.00432191475262427,0.0240903261974209,0.0240903261974209,0.0115346054541008,0
"conn_006",0.103797033494256,0.103797033494256,0.103797033494256,0.0183644470922138,0.103797033494256,0.103797033494256,0.103797033494256,0.0183643988906473,0.103797033494256,0.103797033494256,0.103797033494256,0.0181690435712658,0.0036429363325209,0.00364293633252416,0.00364293633252417,0
"conn_007",0.0183644470922187,0.103797033494255,0.103797033494255,0.103797033494255,0.0183643988906522,0.103797033494255,0.103797033494255,0.103797033494255,0.0181690435712484,0.103797033494255,0.103797033494255,0.103797033494255,0,0.00364293633253184,0.00364293633253185,0.00364293633252613
"conn_008",0.00447380892374022,0.0461163720294641,0.131485320090377,0.131485320090377,0.00447365815831773,0.0461163115225853,0.131485320090377,0.131485320090377,0.00432191475262666,0.045870756222065,0.131485320090377,0.131485320090377,0,0.0115346054541041,0.0240903261974186,0.0240903261974185
"conn_009",0.0239775733424199,0.0239775733424185,0.0114902816466162,0,0.131800224298639,0.131800224298639,0.0458168857892782,0.00423224612669487,0.131800224298639,0.131800224298639,0.0458168250173067,0.00423209836504898,0.131800224298639,0.131800224298639,0.0455711661587625,0.00408400441961807
"conn_010",0.00360418705021219,0.00360418705021219,0.00360418705020376,0,0.103890697067627,0.103890697067627,0.103890697067627,0.0181218784070754,0.103890697067627,0.103890697067627,0.103890697067627,0.0181218302572799,0.103890697067627,0.103890697067627,0.103890697067627,0.0179274565763706
"conn_011",0,0.00360418705020852,0.0036041870502218,0.0036041870502218,0.0181218784070539,0.10389069706763,0.10389069706763,0.10389069706763,0.0181218302572585,0.10389069706763,0.10389069706763,0.10389069706763,0.0179274565763631,0.10389069706763,0.10389069706763,0.10389069706763
"conn_012",0,0.0114902816466209,0.0239775733424202,0.0239775733424202,0.00423224612669073,0.0458168857893056,0.13180022429863,0.13180022429863,0.0042320983650448,0.0458168250173341,0.13180022429863,0.13180022429863,0.00408400441961395,0.0455711661587723,0.13180022429863,0.13180022429863
"conn_013",0.00538989328701324,0.00538989328701324,0.00286972469148371,0,0.0543941308281051,0.0543941308281051,0.0385680613802101,0.0129135575392998,0.154467237537633,0.154467237537633,0.0774037465599681,0.026702255873561,0.154467237537633,0.154467237537633,0.0774036856940724,0.0267019698806342
"conn_014",0.000432483498570572,0.000432483498570572,0.000432483498569419,0,0.0354406703542189,0.0354406703542254,0.0354406703542254,0.0223967079409731,0.12652615642776,0.12652615642776,0.12652615642776,0.0554134729494523,0.12652615642776,0.12652615642776,0.12652615642776,0.0554134189846367
"conn_015",0,0.000432483498569711,0.000432483498571402,0.000432483498571402,0.0223967079409746,0.0354406703542277,0.0354406703542277,0.0354406703542164,0.0554134729494379,0.126526156427763,0.126526156427763,0.126526156427763,0.0554134189846222,0.126526156427763,0.126526156427763,0.126526156427763
"conn_016",0,0.00286972469148428,0.00538989328701267,0.00538989328701267,0.012913557539301,0.0385680613802244,0.0543941308280945,0.0543941308280945,0.0267022558735568,0.0774037465599828,0.15446723753763,0.15446723753763,0.02670196988063,0.077403685694087,0.15446723753763,0.15446723753763
