id1,id2,value
conn_010,conn_013,0.103890697
conn_011,conn_013,0.017927457
conn_012,conn_013,0.004084004
conn_013,conn_013,0.154467238
conn_014,conn_013,0.126526156
conn_015,conn_013,0.055413419
conn_016,conn_013,0.02670197
conn_001,conn_014,0.005374139
conn_002,conn_014,0.000431985
conn_003,conn_014,0.000431985
conn_004,conn_014,0.002861337
conn_005,conn_014,0.024090326
conn_006,conn_014,0.003642936
conn_007,conn_014,0.003642936
conn_008,conn_014,0.011534605
conn_009,conn_014,0.131800224
conn_010,conn_014,0.103890697
conn_011,conn_014,0.103890697
conn_012,conn_014,0.045571166
conn_013,conn_014,0.154467238
conn_014,conn_014,0.126526156
conn_015,conn_014,0.126526156
conn_016,conn_014,0.077403686
conn_001,conn_015,0.002861337
conn_002,conn_015,0.000431985
conn_003,conn_015,0.000431985
conn_004,conn_015,0.005374139
conn_005,conn_015,0.011534605
conn_006,conn_015,0.003642936
conn_007,conn_015,0.003642936
conn_008,conn_015,0.024090326
conn_009,conn_015,0.045571166
conn_010,conn_015,0.103890697
conn_011,conn_015,0.103890697
conn_012,conn_015,0.131800224
conn_013,conn_015,0.077403686
conn_014,conn_015,0.126526156
conn_015,conn_015,0.126526156
conn_016,conn_015,0.154467238
conn_001,conn_016,0
conn_002,conn_016,0
conn_003,conn_016,0.000431985
conn_004,conn_016,0.005374139
conn_005,conn_016,0
conn_006,conn_016,0
conn_007,conn_016,0.003642936
conn_008,conn_016,0.024090326
conn_009,conn_016,0.004084004
conn_010,conn_016,0.017927457
conn_011,conn_016,0.103890697
conn_012,conn_016,0.131800224
conn_013,conn_016,0.02670197
conn_014,conn_016,0.055413419
conn_015,conn_016,0.126526156
conn_016,conn_016,0.154467238
