"id","type","target","spf","target2","name"
1,0,111056428.06524,1000,0,"BIORE_102"
2,0,213197082.166299,1000,0,"BIORE_103"
3,0,746665780.128168,1000,0,"BIORE_114"
4,0,145211448.600232,1000,0,"BIORE_116"
5,0,501694534.627578,1000,0,"BIORE_117"
6,0,283242187.381411,1000,0,"BIORE_118"
7,0,376396272.768339,1000,0,"BIORE_119"
8,0,1170071012.65741,1000,0,"BIORE_121"
9,0,6062635.47856132,1000,0,"BIORE_13"
10,0,551448418.822755,1000,0,"BIORE_132"
11,0,501908512.966683,1000,0,"BIORE_142"
12,0,352533215.344209,1000,0,"BIORE_147"
13,0,8931772.45103414,1000,0,"BIORE_15"
14,0,6001996.15570199,1000,0,"BIORE_16"
15,0,13102763.3913182,1000,0,"BIORE_23"
16,0,148175890.094612,1000,0,"BIORE_26"
17,0,227195960.353977,1000,0,"BIORE_27"
18,0,3456201.35484875,1000,0,"BIORE_29"
19,0,102797716.068924,1000,0,"BIORE_3"
20,0,23853801.5406614,1000,0,"BIORE_4"
