id	cost	status	xloc	yloc
243	1	0	146.545	-17.700
244	1	0	146.168	-17.672
245	1	0	146.396	-17.723
246	1	0	146.503	-17.741
247	1	0	146.154	-17.750
248	1	0	146.511	-17.751
249	1	0	146.647	-17.774
250	1	0	146.440	-17.769
251	1	0	146.518	-17.790
252	1	0	146.549	-17.832
253	1	0	146.488	-17.848
254	1	0	146.589	-17.886
255	1	0	146.732	-17.875
256	1	0	146.139	-17.964
257	1	0	146.604	-17.969
258	1	0	146.136	-17.977
259	1	0	146.776	-17.996
260	1	0	146.839	-18.012
261	1	0	146.558	-18.051
262	1	0	146.154	-18.007
263	1	0	146.166	-18.023
264	1	0	146.200	-18.040
265	1	0	146.177	-18.037
266	1	0	146.205	-18.050
267	1	0	146.763	-18.122
268	1	0	146.972	-18.135
269	1	0	146.290	-18.149
270	1	0	146.154	-18.172
271	1	0	147.027	-18.210
272	1	0	146.730	-18.228
273	1	0	146.324	-18.235
274	1	0	146.904	-18.263
275	1	0	147.387	-18.267
276	1	0	146.829	-18.351
277	1	0	146.745	-18.323
278	1	0	147.205	-18.359
279	1	0	146.708	-18.408
280	1	0	147.454	-18.410
281	1	0	147.063	-18.428
282	1	0	147.138	-18.416
283	1	0	147.350	-18.422
284	1	0	146.992	-18.432
285	1	0	146.994	-18.469
286	1	0	146.874	-18.479
287	1	0	147.036	-18.502
288	1	0	147.144	-18.523
289	1	0	147.101	-18.493
290	1	0	147.445	-18.500
291	1	0	147.398	-18.527
292	1	0	147.192	-18.554
293	1	0	146.488	-18.558
294	1	0	147.495	-18.564
295	1	0	146.487	-18.602
296	1	0	147.422	-18.630
297	1	0	147.054	-18.632
298	1	0	147.294	-18.628
299	1	0	146.550	-18.674
300	1	0	146.512	-18.677
301	1	0	146.336	-18.686
302	1	0	147.101	-18.696
303	1	0	147.271	-18.748
304	1	0	146.610	-18.765
305	1	0	146.550	-18.769
306	1	0	146.535	-18.777
307	1	0	146.521	-18.774
308	1	0	146.667	-18.776
309	1	0	146.433	-18.812
310	1	0	146.525	-18.829
311	1	0	146.538	-18.843
312	1	0	146.631	-18.964
313	1	0	146.686	-18.995
314	1	0	145.523	-14.820
315	1	0	145.690	-16.123
316	1	0	146.788	-18.038
317	1	0	146.153	-17.954
318	1	0	146.796	-17.944
319	1	0	146.861	-18.059
320	1	0	146.797	-18.094
321	1	0	145.700	-14.900
