species,pu,amount		
8,199,1.07e+006
8,200,1.406e+007
8,201,6.69e+006
8,202,1.0008e+008
8,203,1.162e+007
8,208,1.914e+007
8,210,8.05e+006
8,211,3.435e+007
8,214,2.936e+007
8,216,5.7e+005
8,217,8.988e+007
8,218,1.636e+007
8,219,1.738e+007
8,220,2.65e+006
8,223,8.8e+006
8,224,3.77e+006
8,226,2.319e+007
8,228,3.519e+007
8,229,2.117e+007
8,230,6.713e+007
8,233,2.1e+005
8,234,2.5e+005
8,235,8.92e+006
8,236,1.55e+007
8,237,1.548e+007
8,238,1.455e+007
8,240,3.728e+007
8,241,4.343e+007
8,243,1.547e+007
8,245,1.392e+007
8,246,2.06e+006
8,248,3.97e+006
8,249,1.727e+007
8,250,8.07e+006
8,251,1.935e+007
8,252,1.685e+007
8,253,1.162e+007
8,254,5.351e+007
8,255,3.6e+005
8,257,4.06e+006
8,259,3.77e+006
8,261,1.356e+008
8,267,1.495e+007
8,272,1.3524e+008
8,274,6.72e+006
8,276,1.1536e+008
8,277,2.746e+007
8,279,6.121e+007
8,281,1.806e+007
8,282,4.52e+006
8,284,8.54e+006
8,285,3.41e+006
8,286,4.45e+006
8,287,1.973e+007
8,288,3.449e+007
8,289,4.39e+006
8,291,3.26e+006
8,292,4.31e+006
8,294,9.36e+006
8,296,2.172e+007
8,297,1.668e+007
8,298,9.3e+005
8,302,5.47e+006
8,303,5.03e+006
8,316,3.55e+006
8,319,1.506e+007
8,320,1.841e+007
9,293,1e+006
9,295,1.59e+006
9,299,2.36e+006
9,300,1.85e+006
9,304,6.17e+006
9,305,1.3e+005
9,306,8.1e+005
9,307,2.2e+005
9,308,90000
9,310,2.4e+005
9,311,8.1e+005
10,143,10000
11,5,10000
12,140,10000
12,299,20000
12,304,10000
13,9,10000
13,13,10000
13,52,20000
13,66,20000
13,321,10000
14,78,10000
14,81,10000
14,106,10000
14,114,20000
14,137,10000
14,149,10000
14,153,10000
14,168,10000
14,185,30000
14,191,10000
14,192,10000
14,196,10000
14,201,10000
14,202,10000
15,11,30000
15,19,10000
15,20,10000
15,22,10000
15,25,10000
15,29,20000
15,38,10000
15,51,10000
16,317,10000
17,226,10000
17,231,10000
17,238,10000
17,255,10000
17,261,10000
17,267,10000
17,272,10000
17,279,10000
17,281,10000
17,285,10000
17,291,20000
17,294,10000
17,297,10000
17,319,10000
18,1,30000
19,90,10000
19,110,10000
19,119,10000
19,121,10000
19,125,10000
19,170,10000
19,182,20000
20,198,10000
20,247,10000
21,12,6.5392
21,16,6.8135
21,20,6.495
21,25,6.5915
21,28,5.0027
21,44,6.7612
21,47,6.0431
21,48,5.4875
21,50,5.9987
21,52,6.4603
21,54,5.4256
21,58,5.0356
21,59,5
21,64,5.9356
21,66,6.8459
21,67,5
21,68,6.4759
21,69,5.9562
21,70,5
21,81,6.6823
21,93,6.9211
21,95,6.8559
21,98,5.1066
21,100,6.9804
21,126,5
21,128,6.9608
21,175,5.9248
21,195,5.6716
21,202,5.2045
21,203,6.2866
21,208,6.9924
21,246,6.1332
21,247,6.6119
21,250,5
21,251,6.3079
21,252,6.1476
21,255,6.7333
21,271,5.1576
21,298,5.7023
21,300,5
21,302,5.694
21,310,6.2106
22,2,8.3302
22,3,8.6618
22,6,7.7194
22,8,7.7926
22,14,9.2043
22,19,8.5641
22,21,9.0988
22,22,9.5666
22,23,8.5626
22,24,8.9177
22,26,7.936
22,29,7.7906
22,38,8.4154
22,41,7.6762
22,49,7.4501
22,56,9.0915
22,57,8.5508
22,60,9.3991
22,62,7.4775
22,63,7.5019
22,75,8.4053
22,77,7.3968
22,96,8.4835
22,97,7.4982
22,99,7.8885
22,101,8.7034
22,104,8.1552
22,108,9.043
22,132,8.4331
22,136,8.7435
22,137,8.4176
22,144,7.6738
22,145,9.3154
22,155,7.5756
22,157,9.4075
22,158,9.9482
22,162,8.849
